Plataforma,Region,Comuna,Direccion,URL_Reserva
San Dámaso,Región Metropolitana,Quilicura,Presidente Eduardo Frei Montalva Nº9500,https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,Colina,"Camino a Coquimbo S/N° Chacra El Carmen Parcela N°2, Lote N°13",https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,Puente Alto,"Av. Sta. Rosa N°659-685, Lotes L1 y L2 Las Azaleas Sector 3",https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,Puente Alto,Av. Eyzaguirre N°3649,https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,Huechuraba,Av. Américo Vespucio N°191,https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,La Florida,Av. Tobalaba N°7609 Lote 3,https://www.sandamaso.cl/
San Dámaso,Región Metropolitana,Maipú,Camino a Melipilla N°17600 Parcela 5 Fundo Santa Ana de Chena,https://www.sandamaso.cl/
San Dámaso,Valparaíso,Valparaíso,"Avda. B. O'Higgins Nº380, Placilla",https://www.sandamaso.cl/
San Dámaso,Valparaíso,Quilpué,Av. del Trabajador 627,https://www.sandamaso.cl/
San Dámaso,Valparaíso,La Calera,Calle Santa Rosa N° 520,https://www.sandamaso.cl/
San Dámaso,Antofagasta,Antofagasta,"Héroes de la Concepción 14.250, La Chimba",https://www.sandamaso.cl/
San Dámaso,Antofagasta,Calama,"Fco. Martinic s/N°, Barrio Industrial",https://www.sandamaso.cl/
TÜV Rheinland,Región Metropolitana,Quilicura,Cañaveral N°450-500,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,Huechuraba,Av. Santa Clara N°523,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,La Pintana,Av. Gabriela N°03470,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,San Joaquín,Av. Presidente Salvador Allende N°143,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,La Florida,Av. Vicuña Mackenna N°7955,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,Pudahuel,Av. Américo Vespucio N°1393,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Región Metropolitana,Recoleta,Av. Einstein Nº 1010-1026,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Bío Bío,Yumbel,"Calle O'Higgins N°1850, camino Concepción",https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Bío Bío,Concepción,Avda. General Bonilla Nº2010,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Bío Bío,San Pedro de la Paz,Av. Michaihue N°157,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Araucanía,Temuco,Rudencindo Ortega Nº02351,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Los Lagos,Osorno,Avenida Alcalde Fuschlocher 1380,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Los Lagos,Castro,Avenida Galvarino Riveros 1712,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Ñuble,Chillán,Av. O'Higgins 2774,https://www.prt.tuv.com/horario-prt
TÜV Rheinland,Ñuble,Yungay,"O Higgins Poniente (Antes N-97-Q), Campanario",https://www.prt.tuv.com/horario-prt
Applus Revisiones Técnicas,Región Metropolitana,Quilicura,Galvarino N°9430,http://200.29.128.251:8080/app_reserva/#/
Applus Revisiones Técnicas,Región Metropolitana,La Pintana,Av. Gabriela Nº02891,http://200.29.128.251:8080/app_reserva/#/
Applus Revisiones Técnicas,Región Metropolitana,Quinta Normal,Avda. Carrascal Nº5720,http://200.29.128.251:8080/app_reserva/#/
Applus Revisiones Técnicas,Región Metropolitana,San Ramón,Avda. Américo Vespucio Nº1460,http://200.29.128.251:8080/app_reserva/#/
